feature_set,feature_count,model,model_group,valid_mae,valid_rmse,valid_r2,valid_directional_accuracy,selected,holdout_mae,holdout_rmse,holdout_r2,holdout_directional_accuracy
current_all_features,68,ensemble_top3_mean,ensemble,0.038802539362834204,0.05095723640778528,-0.03344950020978077,0.5084745762711864,False,0.0420798269796955,0.05298280102937684,0.009509180843050302,0.53938185443669
top45_plus_aggregates,100,extra_trees_depth_6,base,0.03851759984241697,0.05074728244995849,-0.024951008760214943,0.4985044865403789,False,0.04208921217842958,0.053007938951726424,0.008569072449088333,0.5353938185443669
top25_plus_aggregates,80,extra_trees_depth_6,base,0.03844027605404353,0.05071010301149309,-0.02344972074059215,0.5104685942173479,False,0.04211122910372842,0.05301014649136128,0.00848649354924158,0.5324027916251246
top35_plus_aggregates,90,extra_trees_depth_8,base,0.03872164414787511,0.05105709678697759,-0.03750395005405971,0.5064805583250249,False,0.04216017420819362,0.053056680121534416,0.00674497888695591,0.5314057826520439
aggregates_only_plus_core,61,extra_trees_depth_6,base,0.03837940346884061,0.0506830970649948,-0.022359923361020773,0.5084745762711864,False,0.042183425749339754,0.05310409134284899,0.004969048924084896,0.5174476570289133
top45_plus_aggregates,100,extra_trees_depth_8,base,0.038633443991925656,0.05096647755322527,-0.033824368384899106,0.5104685942173479,False,0.04213533626568144,0.053115731623123635,0.004532784663460632,0.5533399800598205
drop_bottom_35pct_plus_aggregates,99,extra_trees_depth_8,base,0.03868352486287502,0.051020149005934275,-0.03600290118662319,0.4985044865403789,False,0.04213813566356468,0.05311923708455324,0.004401385284360737,0.53938185443669
current_all_features,68,random_forest_depth_6,base,0.038963433809052136,0.051254666660222596,-0.04554890873242812,0.49252243270189433,False,0.04227148654843503,0.05317783968181509,0.002203430209224644,0.5353938185443669
current_all_features,68,bagged_trees,base,0.038868030963421535,0.051160502748529804,-0.0417107201835718,0.4965104685942173,False,0.04220879204826092,0.05319265235960139,0.0016474806760481409,0.5353938185443669
current_all_features,68,gradient_boosting,base,0.03910422567584258,0.05109766939037092,-0.03915351354515528,0.5034895314057827,False,0.04224961703126548,0.05319344352795422,0.0016177821835947626,0.5284147557328016
top35_plus_aggregates,90,ensemble_top3_mean,ensemble,0.038771240030259,0.05102785378680264,-0.03631582767547781,0.5094715852442672,False,0.04231016768670891,0.05321403541378619,0.0008446586356564145,0.5324027916251246
top25_plus_aggregates,80,extra_trees_depth_8,base,0.03858323022213435,0.05087672111643007,-0.03018626395786006,0.5094715852442672,False,0.04223373461283257,0.05321434797015703,0.0008329213831772542,0.5324027916251246
drop_bottom_35pct_plus_aggregates,99,ensemble_top3_mean,ensemble,0.03877134573157358,0.05104926989877935,-0.03718588241936782,0.5054835493519442,False,0.04231920912929127,0.05322834039768905,0.00030740104672921653,0.53938185443669
top45_plus_aggregates,100,ensemble_top3_mean,ensemble,0.038723496453177686,0.05099116644598073,-0.03482620968433481,0.5124626121635095,False,0.04233431457116285,0.05326076800978028,-0.0009110295208063501,0.5503489531405783
top25_plus_aggregates,80,ensemble_top3_mean,ensemble,0.03868889183648364,0.05093111728422661,-0.03239034240419114,0.5114656031904287,False,0.04236648738619016,0.05330158720850894,-0.0024458193473240186,0.5254237288135594
aggregates_only_plus_core,61,ensemble_top3_weighted_rmse,ensemble,0.03847728525763712,0.050824068389061804,-0.028055071243235474,0.5234297108673978,False,0.042395465196543046,0.053315283715075545,-0.0029610674108240254,0.5154536390827518
aggregates_only_plus_core,61,ensemble_top3_mean,ensemble,0.03848004833389178,0.05082661910598764,-0.028158264212881035,0.5234297108673978,False,0.04239719314253078,0.053316947570340466,-0.0030236689005203043,0.5154536390827518
top45_plus_aggregates,100,gradient_boosting,base,0.03940860705816167,0.05178952807090979,-0.06748414524227941,0.5304087736789631,False,0.042621637966244914,0.05363098186871509,-0.014873989237741858,0.518444666001994
drop_bottom_35pct_plus_aggregates,99,gradient_boosting,base,0.03940860705816167,0.05178952807090979,-0.06748414524227941,0.5304087736789631,False,0.042621637966244914,0.05363098186871509,-0.014873989237741858,0.518444666001994
top25_plus_aggregates,80,gradient_boosting,base,0.03945313239657315,0.05184952219679979,-0.06995877186515087,0.5194416749750748,False,0.04264388986388429,0.05368363412879273,-0.016867674137507116,0.5114656031904287
aggregates_only_plus_core,61,gradient_boosting,base,0.03918125473587283,0.05177616889347485,-0.06693349837014662,0.5154536390827518,False,0.04267610264932497,0.05370193265113747,-0.017561008237024778,0.5094715852442672
top35_plus_aggregates,90,gradient_boosting,base,0.0394824911278195,0.05187518267118678,-0.07101808514080532,0.5174476570289133,False,0.04274086106073161,0.05378715995657755,-0.02079339842995287,0.5064805583250249
aggregates_only_plus_core,61,bagged_trees,base,0.0394491042608748,0.0518911259786796,-0.07167651924295115,0.5124626121635095,False,0.04278331188934828,0.05397203518309494,-0.027822724409836352,0.514456630109671
top45_plus_aggregates,100,bagged_trees,base,0.039469923976326246,0.051780175410565545,-0.06709862656630539,0.514456630109671,False,0.0428950344420239,0.05401148560760427,-0.029325831038792716,0.5194416749750748
drop_bottom_35pct_plus_aggregates,99,bagged_trees,base,0.0394719402562498,0.051783086821294795,-0.06721862808066437,0.5134596211365903,False,0.04289649275923233,0.05401786817813303,-0.02956911754776992,0.518444666001994
top35_plus_aggregates,90,bagged_trees,base,0.039435025726565584,0.0517211450445751,-0.0646669887284439,0.5164506480558325,False,0.04289909765179069,0.0540328723413695,-0.030141149323201555,0.5254237288135594
current_all_features,68,bayesian_ridge,base,0.04101573712443559,0.052624911178846705,-0.102199673327666,0.5473579262213359,False,0.04240629445176573,0.05403322648393802,-0.03015465288176844,0.4865403788634098
top45_plus_aggregates,100,random_forest_depth_6,base,0.03977989869546487,0.05235566072038623,-0.09094992227243859,0.5134596211365903,False,0.042940371073712666,0.05404515615896701,-0.03060958654726309,0.5244267198404786
top25_plus_aggregates,80,bagged_trees,base,0.039518095014492986,0.05178472176555343,-0.06728601960251868,0.5154536390827518,False,0.04288408488775763,0.054048436464033726,-0.030734697350381257,0.5174476570289133
drop_bottom_35pct_plus_aggregates,99,random_forest_depth_6,base,0.039777713192591484,0.05235584361524717,-0.09095754435112502,0.5134596211365903,False,0.0429508396481258,0.05405826023349597,-0.03110942124334315,0.522432701894317
aggregates_only_plus_core,61,random_forest_depth_6,base,0.03981704544838003,0.05253823938947932,-0.09857207763371356,0.5114656031904287,False,0.042839868824408406,0.054064168096435994,-0.03133480718731141,0.5054835493519442
top35_plus_aggregates,90,random_forest_depth_6,base,0.03974536241111769,0.052361943659401416,-0.09121177678884629,0.5134596211365903,False,0.04295071157613714,0.05410877656574096,-0.03303742275131283,0.5383848454636092
top25_plus_aggregates,80,random_forest_depth_6,base,0.039837495264458206,0.05249719539824055,-0.09685629230462123,0.5074775672981057,False,0.0429522376187878,0.05414030028051689,-0.034241466359528294,0.5174476570289133
drop_bottom_35pct_plus_aggregates,99,hist_gradient_boosting,base,0.040321528220279367,0.05296183507967827,-0.11635822250069872,0.514456630109671,False,0.04343099724589968,0.05518145825760475,-0.07440240603932957,0.514456630109671
aggregates_only_plus_core,61,hist_gradient_boosting,base,0.03998596328894646,0.05268335130438445,-0.1046490248259122,0.5244267198404786,False,0.04385362181679777,0.055559779980344996,-0.08918502149541019,0.5114656031904287
top35_plus_aggregates,90,hist_gradient_boosting,base,0.04080569757582823,0.05379878407082755,-0.15192033899538848,0.5124626121635095,False,0.04365262501886995,0.05567272348874785,-0.09361777530670823,0.5264207377866401
top25_plus_aggregates,80,hist_gradient_boosting,base,0.04058025313974342,0.05335544772263077,-0.133013444835405,0.5264207377866401,False,0.043537328641347385,0.05570013759760498,-0.09469506904431402,0.5174476570289133
top45_plus_aggregates,100,hist_gradient_boosting,base,0.040066677495377706,0.05267094909790958,-0.10412899440347223,0.5234297108673978,False,0.04394964541372383,0.055780172203401264,-0.09784322764087316,0.5104685942173479
current_all_features,68,hist_gradient_boosting,base,0.04124935872767895,0.0545847271388959,-0.18582284726337606,0.4955134596211366,False,,,,
aggregates_only_plus_core,61,bayesian_ridge,base,0.041200456919136,0.05326350710768244,-0.12911205497060285,0.5214356929212363,False,,,,
top25_plus_aggregates,80,bayesian_ridge,base,0.04310578084101883,0.05537220909239242,-0.2202848701655884,0.5413758723828515,False,,,,
top35_plus_aggregates,90,bayesian_ridge,base,0.04415098171662231,0.0563533257231991,-0.26391139362501703,0.5493519441674976,False,,,,
top45_plus_aggregates,100,bayesian_ridge,base,0.046754557692101836,0.0590760512539726,-0.38899423601089933,0.551345962113659,False,,,,
drop_bottom_35pct_plus_aggregates,99,bayesian_ridge,base,0.04660791556080813,0.05891194766001284,-0.3812881570581341,0.5483549351944168,False,,,,
