Date,news_data_available,news_event_count_7d,news_mentions_7d,news_articles_7d,news_avg_tone_7d,news_avg_goldstein_7d,news_root_share_7d,news_negative_goldstein_share_7d,news_material_conflict_share_7d,news_verbal_conflict_share_7d,news_brazil_share_7d,news_colombia_share_7d,news_vietnam_share_7d,news_event_count_30d,news_mentions_30d,news_articles_30d,news_avg_tone_30d,news_avg_goldstein_30d,news_root_share_30d,news_negative_goldstein_share_30d,news_material_conflict_share_30d,news_verbal_conflict_share_30d,news_brazil_share_30d,news_colombia_share_30d,news_vietnam_share_30d,news_event_volume_z_365d,news_tone_change_7d,news_supply_shock_proxy
2002-09-01,1.0,257.0,1498.0,1485.0,5.3637113251018755,-3.1348821548821526,0.622568093385214,0.4280155642023346,0.27626459143968873,0.11673151750972763,0.1556420233463035,0.48638132295719844,0.007782101167315175,1082.0,7093.0,7020.0,5.231151946656274,-5.323703703703704,0.5868761552680222,0.6127541589648798,0.5018484288354899,0.08964879852125693,0.12754158964879853,0.38817005545286504,0.015711645101663587,0.5303861824361776,0.21097791032043833,1.5340861110094741
2002-09-02,1.0,259.0,1504.0,1491.0,5.369614736619464,-3.132997987927563,0.6177606177606177,0.4247104247104247,0.27413127413127414,0.11583011583011583,0.1583011583011583,0.4826254826254826,0.015444015444015444,1036.0,6717.0,6644.0,5.223566891809956,-5.245033112582782,0.5965250965250966,0.61003861003861,0.5,0.08976833976833977,0.1303088803088803,0.39768339768339767,0.01833976833976834,0.5649379150741197,0.2260676823013874,1.5243567405486582
2002-09-03,1.0,246.0,1444.0,1431.0,5.327492339786287,-3.280642907057999,0.6260162601626016,0.45121951219512196,0.3008130081300813,0.11788617886178862,0.11788617886178862,0.5040650406504065,0.016260162601626018,1031.0,6678.0,6605.0,5.216167578462349,-5.251688115064345,0.5994180407371484,0.6100872938894277,0.5033947623666344,0.0863239573229874,0.1309408341416101,0.39961202715809896,0.01842870999030068,0.3325414581001088,0.21116736587800933,1.657295678497847
2002-09-04,1.0,200.0,1179.0,1166.0,5.549397443990455,-3.465437392795881,0.635,0.445,0.31,0.09,0.13,0.44,0.02,1017.0,6575.0,6502.0,5.194409268493149,-5.320516764072593,0.6017699115044248,0.616519174041298,0.5054080629301868,0.08947885939036382,0.13667649950835792,0.3893805309734513,0.018682399213372666,-0.6003303730964759,0.7086251450286625,1.6440245214983136
2002-09-05,1.0,200.0,1371.0,1353.0,5.003435773728814,-5.112786400591276,0.625,0.55,0.475,0.03,0.09,0.375,0.025,1050.0,7046.0,6968.0,5.126443391666682,-5.54227898966705,0.6047619047619047,0.6333333333333333,0.5238095238095238,0.08857142857142856,0.1219047619047619,0.3819047619047619,0.02,-0.5977791543095627,0.06965095006234545,2.519069831328061
2002-09-06,1.0,200.0,1390.0,1377.0,4.519332291358262,-5.20457516339869,0.695,0.59,0.525,0.035,0.03,0.485,0.02,1050.0,7164.0,7082.0,5.081739005092035,-5.563724936458627,0.6247619047619047,0.6304761904761905,0.5247619047619048,0.08571428571428572,0.12095238095238095,0.379047619047619,0.02,-0.5977791543095627,-0.6465721217882336,2.7842350767310147
2002-09-07,1.0,200.0,1257.0,1236.0,4.417228539880798,-4.849999999999998,0.68,0.615,0.515,0.08,0.025,0.565,0.07,1050.0,7232.0,7142.0,5.0598065183080925,-5.6387846541585,0.6447619047619048,0.6542857142857142,0.5419047619047619,0.09238095238095238,0.11333333333333333,0.38285714285714284,0.029523809523809525,-0.5977791543095627,-0.9084557431869822,2.731202027650424
2002-09-08,1.0,182.0,1204.0,1176.0,4.346814902595961,-5.2700680272108835,0.6593406593406593,0.6703296703296703,0.5494505494505495,0.10989010989010989,0.04945054945054945,0.47802197802197804,0.07692307692307693,1014.0,6777.0,6681.0,5.033093838493638,-5.344529262086513,0.6538461538461539,0.6390532544378699,0.5207100591715976,0.09763313609467456,0.11834319526627218,0.378698224852071,0.029585798816568046,-1.0227272924056474,-1.0168964225059147,2.8623550290337483
2002-09-09,1.0,189.0,1248.0,1220.0,4.38971267998519,-5.059098360655737,0.6666666666666666,0.671957671957672,0.544973544973545,0.1164021164021164,0.0582010582010582,0.49206349206349204,0.06349206349206349,975.0,6441.0,6348.0,5.024002128067314,-5.079316320100819,0.6502564102564102,0.6246153846153846,0.49948717948717947,0.10358974358974359,0.12615384615384614,0.38256410256410256,0.03076923076923077,-0.8507328422347249,-0.9799020566342742,2.859489309166826
2002-09-10,1.0,204.0,1320.0,1285.0,4.463349662846267,-4.770972762645913,0.6617647058823529,0.6421568627450981,0.5049019607843137,0.12745098039215685,0.0784313725490196,0.47549019607843135,0.058823529411764705,965.0,6427.0,6327.0,5.012344894705986,-5.108692903429746,0.6580310880829016,0.6259067357512953,0.505699481865285,0.09948186528497409,0.11709844559585492,0.38238341968911915,0.031088082901554404,-0.5048422841489197,-0.8641426769400198,2.687598175741451
2002-09-11,1.0,250.0,1681.0,1646.0,4.741472141332631,-5.219501822600241,0.676,0.664,0.556,0.104,0.076,0.416,0.048,1008.0,6765.0,6665.0,5.0538064005516565,-5.200255063765941,0.6607142857142857,0.6339285714285714,0.5178571428571429,0.09623015873015874,0.11507936507936507,0.37202380952380953,0.02976190476190476,0.41144595645275844,-0.8079253026578241,3.072151834157272
2002-09-12,1.0,250.0,1482.0,1443.0,4.9062234044409445,-5.106237006237005,0.676,0.656,0.548,0.108,0.076,0.404,0.056,1050.0,7104.0,6995.0,5.030864230130935,-5.390793423874197,0.659047619047619,0.6438095238095238,0.5304761904761904,0.09428571428571429,0.11047619047619048,0.3628571428571429,0.03142857142857143,0.4092309641146386,-0.09721236928786947,3.0279482106442175
2002-09-13,1.0,250.0,1498.0,1463.0,5.403805014668118,-5.003964456596035,0.676,0.664,0.548,0.116,0.096,0.336,0.056,1050.0,7200.0,7091.0,5.1241476060311095,-5.421816386969398,0.66,0.6409523809523809,0.5276190476190477,0.09619047619047619,0.0980952380952381,0.3580952380952381,0.03142857142857143,0.40658585736931185,0.8844727233098553,3.0279482106442175
2002-09-14,1.0,250.0,1702.0,1675.0,5.2882223077601465,-5.982268656716417,0.688,0.692,0.612,0.08,0.108,0.244,0.024,1050.0,7124.0,7038.0,5.110606760587145,-5.450909349246945,0.6580952380952381,0.6428571428571429,0.5333333333333333,0.09523809523809523,0.09619047619047619,0.35714285714285715,0.03333333333333333,0.40241958901311264,0.870993767879348,3.3815771987486514
2002-09-15,1.0,243.0,1686.0,1670.0,5.199537074649866,-6.378922155688621,0.6748971193415638,0.7160493827160493,0.6502057613168725,0.06584362139917696,0.09465020576131687,0.2551440329218107,0.024691358024691357,1007.0,6726.0,6640.0,5.058341372810419,-5.3346234939759025,0.6573982125124131,0.6335650446871897,0.5243296921549155,0.09433962264150944,0.1002979145978153,0.37040714995034757,0.03475670307845084,0.2681420571839386,0.8527221720539053,3.5742904510136873
2002-09-16,1.0,244.0,1725.0,1709.0,5.149699563490641,-6.614803978935049,0.6598360655737705,0.7213114754098361,0.6639344262295082,0.05737704918032787,0.0942622950819672,0.24180327868852458,0.02459016393442623,969.0,6389.0,6312.0,5.063447556037883,-5.232699619771863,0.6542827657378741,0.6202270381836945,0.5056759545923633,0.09907120743034056,0.10526315789473684,0.38596491228070173,0.033023735810113516,0.2822992376241945,0.7599868835054506,3.652474713558384
2002-09-17,1.0,250.0,1975.0,1954.0,4.925882595852335,-6.581218014329579,0.636,0.74,0.696,0.044,0.112,0.192,0.032,978.0,6609.0,6520.0,4.986393704637854,-5.308205521472392,0.6554192229038854,0.6226993865030674,0.50920245398773,0.09815950920245399,0.11247443762781185,0.3660531697341513,0.034764826175869123,0.4050814025136903,0.46253293300606835,3.845715245635721
2002-09-18,1.0,250.0,2033.0,1998.0,4.529127680495259,-6.892642642642641,0.612,0.772,0.716,0.056,0.116,0.168,0.04,1015.0,6970.0,6867.0,4.909354228469822,-5.528891801368866,0.6551724137931034,0.6413793103448275,0.5270935960591133,0.09950738916256158,0.11625615763546798,0.34876847290640395,0.034482758620689655,0.4202350257805385,-0.21234446083737168,3.956224304418357
2002-09-19,1.0,250.0,2120.0,2076.0,4.30215378141578,-6.853612716763005,0.616,0.76,0.7,0.052,0.116,0.192,0.024,1050.0,7379.0,7258.0,4.8014738911643144,-5.735767429043813,0.6542857142857142,0.6580952380952381,0.5447619047619048,0.09714285714285714,0.10857142857142857,0.34,0.03333333333333333,0.4422414233861336,-0.6040696230251648,3.8678170573922483
2002-09-20,1.0,250.0,2260.0,2216.0,3.9102823506940223,-7.380595667870035,0.608,0.816,0.768,0.04,0.096,0.208,0.044,1050.0,7431.0,7310.0,4.704120392644081,-5.768919288645691,0.6485714285714286,0.6571428571428571,0.5514285714285714,0.09047619047619047,0.10571428571428572,0.3466666666666667,0.03619047619047619,0.44374536896717137,-1.4935226639740953,4.24354785725321
2002-09-21,1.0,250.0,2330.0,2253.0,3.8122782432473064,-7.582201509098978,0.636,0.828,0.776,0.044,0.084,0.252,0.08,1050.0,7481.0,7333.0,4.647925108470774,-5.894504295649801,0.638095238095238,0.6666666666666666,0.5647619047619048,0.08666666666666667,0.10095238095238095,0.35904761904761906,0.04666666666666667,0.4400410027232543,-1.47594406451284,4.287751480766264
