phase,regime_family,regime,model,rows,date_start,date_end,actual_mean_return,actual_return_std,actual_positive_rate,prediction_mean_return,prediction_positive_rate,rmse,mae,r2,mean_error_bias,directional_accuracy,balanced_accuracy,precision_positive,recall_positive,f1_positive,matthews_correlation,roc_auc,average_precision,zero_return_rmse,rmse_improvement_vs_zero_pct,majority_direction_accuracy,directional_accuracy_minus_majority
test,brazil_weather_regime,favorable_weather,mlp_price_history,130,2023-01-03,2026-02-27,-0.0009271487841786057,0.05183917607900245,0.43846153846153846,0.006107009248433029,0.6,0.058195137839198975,0.04685326461828261,-0.2700208876013852,0.007034158032611633,0.46923076923076923,0.48125450612833454,0.4230769230769231,0.5789473684210527,0.4888888888888889,-0.03797316245786213,0.4965152607546263,0.4422207499820402,0.051647732201890624,-0.12677043808457245,0.5615384615384615,-0.09230769230769231
test,brazil_weather_regime,favorable_weather,elm_price_history,130,2023-01-03,2026-02-27,-0.0009271487841786057,0.05183917607900245,0.43846153846153846,0.00603120646362739,0.6615384615384615,0.055564411205185044,0.046215554066588525,-0.1577929337639743,0.006958355247805996,0.4230769230769231,0.44208123047344383,0.3953488372093023,0.5964912280701754,0.4755244755244755,-0.12147100270779539,0.43138668589281426,0.40325624274452243,0.051647732201890624,-0.07583448171517282,0.5615384615384615,-0.13846153846153847
test,brazil_weather_regime,favorable_weather,hedonic_weather_cot_ridge,130,2023-01-03,2026-02-27,-0.0009271487841786057,0.05183917607900245,0.43846153846153846,-0.017218025732794028,0.07692307692307693,0.053316736748745944,0.042202135157176045,-0.06601810930101437,-0.016290876948615425,0.6076923076923076,0.5564768084595049,0.8,0.14035087719298245,0.23880597014925373,0.21033346530357974,0.6080269166065849,0.5750434318435718,0.051647732201890624,-0.03231515645897476,0.5615384615384615,0.0461538461538461
test,brazil_weather_regime,favorable_weather,threshold_ar_npi,130,2023-01-03,2026-02-27,-0.0009271487841786057,0.05183917607900245,0.43846153846153846,0.0028121111963322035,0.7307692307692307,0.05216427662874803,0.043699023741094994,-0.020431461179067023,0.0037392599805108075,0.46153846153846156,0.4897861091083874,0.43157894736842106,0.7192982456140351,0.5394736842105263,-0.022852001452788283,0.44364335496274937,0.4485264156008801,0.051647732201890624,-0.01000129927947735,0.5615384615384615,-0.09999999999999998
test,brazil_weather_regime,favorable_weather,cot_contract_stress_forest,130,2023-01-03,2026-02-27,-0.0009271487841786057,0.05183917607900245,0.43846153846153846,0.0037847053828399565,0.6076923076923076,0.0537407833999923,0.045411777605360616,-0.08304237067903575,0.004711854167018562,0.3384615384615385,0.34943523191540493,0.31645569620253167,0.43859649122807015,0.36764705882352944,-0.30602265549927393,0.35592405671713534,0.3627186345326585,0.051647732201890624,-0.04052551987994257,0.5615384615384615,-0.22307692307692306
test,brazil_weather_regime,favorable_weather,hist_gradient_boosting_integrated,130,2023-01-03,2026-02-27,-0.0009271487841786057,0.05183917607900245,0.43846153846153846,-0.005317678016581534,0.3230769230769231,0.0533153038914759,0.0439631767518172,-0.06596081279840194,-0.004390529232402928,0.4846153846153846,0.46226868541216054,0.38095238095238093,0.2807017543859649,0.32323232323232326,-0.08006907455097076,0.4498918529199712,0.4251302659801385,0.051647732201890624,-0.03228741357058529,0.5615384615384615,-0.07692307692307693
test,brazil_weather_regime,favorable_weather,xgboost_integrated,130,2023-01-03,2026-02-27,-0.0009271487841786057,0.05183917607900245,0.43846153846153846,-0.0008384769297733258,0.43846153846153846,0.05285067782266551,0.044272876448432884,-0.04746274297128039,8.86718544052807e-05,0.5076923076923077,0.5001201634222543,0.43859649122807015,0.43859649122807015,0.43859649122807015,0.0002403268445085316,0.43282864695986545,0.3930423774115903,0.051647732201890624,-0.023291354130953623,0.5615384615384615,-0.05384615384615388
test,brazil_weather_regime,favorable_weather,xgboost_regime_aware,130,2023-01-03,2026-02-27,-0.0009271487841786057,0.05183917607900245,0.43846153846153846,-6.447400917470357e-05,0.5153846153846153,0.052833472037341525,0.044048337971190676,-0.04678084119853554,0.0008626747750039021,0.49230769230769234,0.49411199230954095,0.43283582089552236,0.5087719298245614,0.46774193548387094,-0.011692019905191472,0.4239365537130497,0.38655753666668463,0.051647732201890624,-0.02295821684514343,0.5615384615384615,-0.0692307692307692
test,brazil_weather_regime,favorable_weather,research_ensemble,130,2023-01-03,2026-02-27,-0.0009271487841786057,0.05183917607900245,0.43846153846153846,0.0013587481051469212,0.4846153846153846,0.052846117885809826,0.0440421548601243,-0.04728200137582905,0.002285896889325523,0.4,0.3965392934390771,0.3333333333333333,0.3684210526315789,0.35,-0.205445492619793,0.37418889689978374,0.3507915491150768,0.051647732201890624,-0.023203064932932893,0.5615384615384615,-0.16153846153846152
test,brazil_weather_regime,normal_weather,zero_return,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,0.0,0.0,0.05850902737386977,0.0460570339056521,-0.030183649728631412,-0.010015010949483804,0.470404984423676,0.5,0.0,0.0,0.0,0.0,0.5,0.5295950155763239,0.05850902737386977,0.0,0.5295950155763239,-0.059190031152647926
test,brazil_weather_regime,normal_weather,ar_ridge,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,-0.0007061439239699121,0.5109034267912772,0.05875853737068806,0.046228577634596126,-0.038988759053093736,-0.010721154873453717,0.48909657320872274,0.48841059602649006,0.5182926829268293,0.5,0.5089820359281437,-0.02314367282333984,0.48566419945461625,0.5238242480550401,0.05850902737386977,-0.004264470082948835,0.5295950155763239,-0.040498442367601195
test,brazil_weather_regime,normal_weather,arima_111,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,0.0006055030492914537,0.9439252336448598,0.05842821021186549,0.04602052590934193,-0.027339677695608522,-0.009409507900192352,0.5420560747663551,0.515835605765485,0.5379537953795379,0.9588235294117647,0.6892177589852009,0.06871001517471532,0.4858589793533308,0.5252500366760253,0.05850902737386977,0.0013812767983282237,0.5295950155763239,0.012461059190031154
test,brazil_weather_regime,normal_weather,simple_exp_smoothing,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,-2.821002094640097e-05,0.4735202492211838,0.05853499505394074,0.04605438574641983,-0.031098292035941055,-0.010043220970430207,0.4953271028037383,0.49688352162056876,0.5263157894736842,0.47058823529411764,0.4968944099378882,-0.006230772609017171,0.48570315543435916,0.5254863223804203,0.05850902737386977,-0.0004438234788119999,0.5295950155763239,-0.03426791277258562
test,brazil_weather_regime,normal_weather,holt_winters_5d,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,0.0019936742120311456,0.9252336448598131,0.05838944956394531,0.046111554435211394,-0.02597707756802614,-0.00802133673745266,0.5358255451713395,0.5106934164394235,0.5353535353535354,0.9352941176470588,0.6809421841541756,0.04058593585099508,0.43463186599142967,0.4939245389099852,0.05850902737386977,0.002043749747545065,0.5295950155763239,0.006230529595015577
test,brazil_weather_regime,normal_weather,linear_trend_252d,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,0.0021481351573757615,0.42679127725856697,0.1461304276763138,0.12024193471685826,-5.426140344486897,-0.00786687579210805,0.49221183800623053,0.4965329178028828,0.5255474452554745,0.4235294117647059,0.46905537459283386,-0.006997418886958801,0.5247370471367355,0.5538677333348554,0.05850902737386977,-1.4975706183346316,0.5295950155763239,-0.03738317757009341
test,brazil_weather_regime,normal_weather,quadratic_trend_252d,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,0.008463354637056317,0.5700934579439252,0.14213539841036818,0.11391145282913095,-5.079577483310368,-0.0015516563124274882,0.49221183800623053,0.4880210362290612,0.5191256830601093,0.5588235294117647,0.5382436260623229,-0.024154446684138377,0.467238021036229,0.5156318284862318,0.05850902737386977,-1.4292900564237732,0.5295950155763239,-0.03738317757009341
test,brazil_weather_regime,normal_weather,linear_technical,321,2022-10-07,2026-07-27,0.010015010949483804,0.057735519683880084,0.5295950155763239,-0.005382419443751971,0.3426791277258567,0.059268855059663506,0.04583807259262233,-0.057114356491809515,-0.015397430393235777,0.48286604361370716,0.4921503700818075,0.5181818181818182,0.3352941176470588,0.40714285714285714,-0.016510283915499618,0.550525905726529,0.5901911337410565,0.05850902737386977,-0.012986503449091247,0.5295950155763239,-0.04672897196261677
