event_id,event_start,event_end,peak_date,peak_close,peak_drift_score,return_5d,return_20d,cot_report_date_used,cot_release_date_estimate,cot_fill_status,cot_days_since_report,most_abnormal_cot_context
122,2022-08-24,2022-08-26,2022-08-25,243.3999938964844,2.9293788192445867,0.13367488288861473,0.11446886766786868,2022-08-23,2022-08-26,forward_filled_from_previous_cot,2.0,noncommercial_net z=0.9; commercial_net z=0.9; managed_money_net_pct_oi z=0.8; swap_dealer_net z=0.7; Open_Interest_All z=0.3
12,2002-09-03,2002-09-23,2002-09-16,61.349998474121094,2.9185008297629076,0.034569970715604414,0.30810227032229065,2002-09-10,2002-09-13,forward_filled_from_previous_cot,6.0,Open_Interest_All z=1.3; noncommercial_net z=0.1; commercial_net z=0.1
126,2023-01-27,2023-02-27,2023-02-22,199.5,2.903836385372556,0.08689728511605943,0.2480449945732741,2023-02-21,2023-02-24,forward_filled_from_previous_cot,1.0,Open_Interest_All z=0.5; swap_dealer_net z=0.5; managed_money_net_pct_oi z=0.1; commercial_net z=0.1; noncommercial_net z=0.0
44,2008-09-25,2008-10-28,2008-10-07,114.1999969482422,2.9010583807573047,-0.12456880322080344,-0.16029414008645437,2008-10-07,2008-10-10,original_cot_row,0.0,swap_dealer_net z=1.1; commercial_net z=0.9; noncommercial_net z=0.7; managed_money_net_pct_oi z=0.5; Open_Interest_All z=0.3
65,2011-09-22,2011-11-03,2011-10-25,236.5500030517578,2.894412351195166,0.021814268042150475,-0.0178534479667386,2011-10-25,2011-10-28,original_cot_row,0.0,Open_Interest_All z=0.6; managed_money_net_pct_oi z=0.3; swap_dealer_net z=0.2; commercial_net z=0.1; noncommercial_net z=0.0
70,2012-12-19,2013-01-02,2012-12-26,148.3000030517578,2.8822127077101376,0.11086144608058279,0.06080114316487584,2012-12-24,2012-12-27,forward_filled_from_previous_cot,2.0,managed_money_net_pct_oi z=1.3; commercial_net z=1.1; noncommercial_net z=1.0; swap_dealer_net z=0.6; Open_Interest_All z=0.3
143,2025-08-19,2025-09-04,2025-08-29,396.8500061035156,2.869630622606809,0.015871015752976447,0.3963757531946277,2025-08-26,2025-08-29,forward_filled_from_previous_cot,3.0,swap_dealer_net z=1.6; managed_money_net_pct_oi z=0.9; noncommercial_net z=0.7; commercial_net z=0.6; Open_Interest_All z=0.0
118,2022-03-03,2022-03-29,2022-03-15,212.3000030517578,2.817062801509914,-0.09292886014272006,-0.14239547390605334,2022-03-15,2022-03-18,original_cot_row,0.0,swap_dealer_net z=1.5; commercial_net z=1.2; noncommercial_net z=1.1; Open_Interest_All z=0.9; managed_money_net_pct_oi z=0.5
39,2007-08-16,2007-08-29,2007-08-17,115.5500030517578,2.8042918295428834,-0.04187392608837348,0.013596517997875424,2007-08-14,2007-08-17,forward_filled_from_previous_cot,3.0,swap_dealer_net z=0.7; commercial_net z=0.5; noncommercial_net z=0.5; managed_money_net_pct_oi z=0.4; Open_Interest_All z=0.1
104,2018-12-24,2018-12-26,2018-12-26,103.9000015258789,2.8023088774652307,0.10121889990678956,-0.028971948356271926,2018-12-24,2018-12-27,forward_filled_from_previous_cot,2.0,noncommercial_net z=2.2; commercial_net z=2.1; managed_money_net_pct_oi z=1.7; Open_Interest_All z=1.6; swap_dealer_net z=0.6
93,2017-06-22,2017-06-29,2017-06-29,124.75,2.7822045402056528,0.09960337907204209,-0.023100994665159247,2017-06-27,2017-06-30,forward_filled_from_previous_cot,2.0,managed_money_net_pct_oi z=1.7; commercial_net z=1.6; noncommercial_net z=1.5; Open_Interest_All z=0.9; swap_dealer_net z=0.1
60,2011-03-15,2011-03-16,2011-03-16,264.54998779296875,2.773284295905279,-0.10139268587760686,0.025188918068133725,2011-03-15,2011-03-18,forward_filled_from_previous_cot,1.0,managed_money_net_pct_oi z=0.9; Open_Interest_All z=0.6; noncommercial_net z=0.5; commercial_net z=0.5; swap_dealer_net z=0.0
101,2018-07-17,2018-08-01,2018-07-20,110.6500015258789,2.761560166109665,0.03362913004664314,-0.017317912741272035,2018-07-17,2018-07-20,forward_filled_from_previous_cot,3.0,noncommercial_net z=2.7; commercial_net z=2.6; managed_money_net_pct_oi z=2.2; Open_Interest_All z=2.0; swap_dealer_net z=1.2
83,2015-10-08,2015-10-15,2015-10-14,134.64999389648438,2.732514649643763,0.06822681980575052,0.1832160833532115,2015-10-13,2015-10-16,forward_filled_from_previous_cot,1.0,commercial_net z=0.7; noncommercial_net z=0.6; managed_money_net_pct_oi z=0.6; Open_Interest_All z=0.3; swap_dealer_net z=0.2
142,2025-06-18,2025-07-11,2025-07-07,280.04998779296875,2.732407314277572,-0.08704160458689891,-0.21784667688663928,2025-07-01,2025-07-04,forward_filled_from_previous_cot,6.0,swap_dealer_net z=2.1; managed_money_net_pct_oi z=0.7; noncommercial_net z=0.6; commercial_net z=0.5; Open_Interest_All z=0.2
49,2009-05-11,2009-06-19,2009-06-01,142.25,2.7321912743911736,0.05370370370370381,0.18690030714281303,2009-05-26,2009-05-29,forward_filled_from_previous_cot,6.0,managed_money_net_pct_oi z=0.8; noncommercial_net z=0.6; commercial_net z=0.5; swap_dealer_net z=0.5; Open_Interest_All z=0.3
114,2020-09-17,2020-09-18,2020-09-18,113.5999984741211,2.6863822725515796,-0.14810653712353927,-0.04175457149061046,2020-09-15,2020-09-18,forward_filled_from_previous_cot,3.0,commercial_net z=1.9; noncommercial_net z=1.9; Open_Interest_All z=1.6; managed_money_net_pct_oi z=0.9; swap_dealer_net z=0.3
