model,approach,paper_keys,feature_group,phase,rows,date_start,date_end,rmse,mae,median_absolute_error,mean_error_bias,nrmse_target_std,smape,r2,pearson_correlation,price_rmse,price_mae,directional_accuracy,balanced_accuracy,precision_positive,recall_positive,f1_positive,specificity_negative,matthews_correlation,roc_auc,average_precision,naive_binomial_accuracy_p_value_vs_50pct,tn,fp,fn,tp,strategy_observations_non_overlapping,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_win_rate,strategy_average_turnover,transaction_cost_bps,residual_autocorrelation_lag1,residual_autocorrelation_lag5,residual_autocorrelation_lag20,residual_std,fit_predict_seconds
elm_price_history,Extreme Learning Machine using lagged price-history features,elm_coffee_forecasting,price_history,validation,998,2018-09-12,2022-08-29,0.050953153841907156,0.03861407857264204,0.031046983854948453,-0.006649729589502557,1.0156193932726685,1.5522531715217145,-0.03251733850306904,0.10504197967612604,7.6050088064672465,5.461685993736817,0.5390781563126252,0.5390308582449372,0.549800796812749,0.5411764705882353,0.5454545454545454,0.5368852459016393,0.0780441579023731,0.5559185149469624,0.5613730022541701,0.007376219775012969,262,226,234,276,200,0.9090777246862476,0.176975844601013,0.3541372525215274,0.6388486060515349,-0.3617643090828895,0.56,0.735,2.0,0.7723157198641976,-0.008220458856939051,0.04728172036972936,0.05054270142026918,0.01414479099912569
hedonic_weather_cot_ridge,Regularized hedonic/econometric model with weather and released COT,hedonic_weather,hedonic_weather_cot,validation,998,2018-09-12,2022-08-29,0.05663053276077819,0.04312483174777644,0.034797345316750855,-0.008643436516966018,1.1287832643620466,1.4615407552140827,-0.2754296435185857,-0.013301609443745642,8.148155653166308,5.971942092920466,0.5080160320641283,0.5103624236579878,0.5241730279898219,0.403921568627451,0.45625692137320045,0.6168032786885246,0.0212037354088527,0.5221070395371263,0.5063773635976535,0.3174697789464888,301,187,304,206,200,-0.7075079552947223,-0.26639760123256007,0.35403856382241944,-0.6950262966250984,-0.734751552414975,0.455,0.475,2.0,0.8332471137426983,0.18790403632967448,0.1095724308311968,0.055995088886374986,0.0537184170098044
threshold_ar_npi,Threshold autoregression using the NPI/PER proxy regime,financialization_thresholds,threshold_ar,validation,998,2018-09-12,2022-08-29,0.050850499511944786,0.038651084670807107,0.031550093135003135,-0.005963592817563443,1.013573244595853,1.7326715076470445,-0.02836114414868951,0.0076759596915353945,7.491603150259696,5.433896435408996,0.5,0.5001325940212151,0.5111561866125761,0.49411764705882355,0.5024925224327019,0.5061475409836066,0.00026514276918307656,0.5081967213114754,0.5056712654106568,0.5126251342234039,247,241,258,252,200,0.06169913114526371,0.015201774985475591,0.35549224157995774,0.22159573347603356,-0.617653560847891,0.505,0.595,2.0,0.7947927111173619,-0.018527390793812878,0.012833791884681348,0.05052491211105121,0.0102228750474751
cot_contract_stress_forest,"COT crowding, reversal, contract-shock, and default-stress proxy model","contract_behavior,strategic_default,financialization_thresholds",cot_contract_stress,validation,998,2018-09-12,2022-08-29,0.050751745378372674,0.03853296586632976,0.03187301475796571,-0.006008772935337409,1.011604836250947,1.631194852871258,-0.024370768341878568,0.0678238817651907,7.589971927058419,5.441276419345647,0.49498997995991983,0.49350691096110577,0.5053003533568905,0.5607843137254902,0.5315985130111525,0.4262295081967213,-0.01310165816416082,0.5042831886853102,0.5153177527546549,0.6361449898614424,208,280,224,286,200,-0.2872060258385629,-0.08177960903163706,0.3557798875748364,-0.06255047578058114,-0.6589281746132092,0.49,0.575,2.0,0.7870067269620109,-0.05816312010769832,0.01639778658077872,0.050420051397215934,4.401737082982436
hist_gradient_boosting_integrated,"Integrated histogram gradient boosting using price, COT, weather, and safe news features","elm_coffee_forecasting,arima_coffee_forecasting,coffee_c_ml,volatility_models,hedonic_weather,contract_behavior,strategic_default,financialization_thresholds",integrated,validation,998,2018-09-12,2022-08-29,0.057676587867266295,0.04333384998500201,0.03356756177168608,-0.022622100888243978,1.1496336685564077,1.4193517697848335,-0.32298320635376854,0.07570346173210141,8.747700358190011,6.211945904058237,0.48396793587174347,0.490147862423658,0.4885844748858447,0.20980392156862746,0.2935528120713306,0.7704918032786885,-0.023799327000050132,0.5262094181935069,0.5252168761103708,0.8518971216009721,376,112,403,107,200,-0.5880434803372279,-0.20027154680433956,0.35488737926895,-0.4501084916568591,-0.7216818023426896,0.485,0.475,2.0,0.836674449883385,0.18827213566025405,0.10664236939675166,0.05308156590238955,1.2276201670174487
xgboost_integrated,"Integrated nonlinear model using price, COT, weather, and safe news features","elm_coffee_forecasting,arima_coffee_forecasting,coffee_c_ml,volatility_models,hedonic_weather,contract_behavior,strategic_default,financialization_thresholds",integrated,validation,998,2018-09-12,2022-08-29,0.05347709568763046,0.04016589260176782,0.030643426500976942,-0.016568187035169088,1.0659276488511626,1.507825809069058,-0.13734137319979633,0.06829050377777693,7.933865937418586,5.663408858505668,0.48697394789579157,0.4938404050144648,0.4946808510638298,0.18235294117647058,0.2664756446991404,0.805327868852459,-0.015749099158968733,0.5147540983606558,0.50169010161135,0.8036277328561927,393,95,417,93,200,-0.6680694853982603,-0.24263734046804042,0.354403153070803,-0.6035902675437315,-0.7481312113029416,0.49,0.395,2.0,0.8070747051070554,0.0403600062795532,0.03592285918140621,0.050871288716875296,0.5897732500452548
xgboost_regime_aware,"XGBoost with past-only volatility, trend, liquidity, COT, weather, and news regime interactions","elm_coffee_forecasting,arima_coffee_forecasting,coffee_c_ml,volatility_models,hedonic_weather,contract_behavior,strategic_default,financialization_thresholds",regime_aware_integrated,validation,998,2018-09-12,2022-08-29,0.05451094364804035,0.0406713684475024,0.02993026087870505,-0.01830407661631944,1.08653473514744,1.4838616624513796,-0.181741840742782,0.05363795701536315,8.097971123406872,5.739430731768896,0.49298597194388777,0.49994374799099967,0.5108695652173914,0.1843137254901961,0.27089337175792505,0.8155737704918032,-0.00014502468082872613,0.5121062359369978,0.5097101156397414,0.6825302210535111,398,90,416,94,200,-0.5892758098466482,-0.2008750853544008,0.354878572879479,-0.4520948047296082,-0.7150924554917627,0.495,0.395,2.0,0.813237545272309,0.06936357603091615,0.05237771056232106,0.0513716662508689,0.6500588329508901
research_ensemble,Validation-optimized non-negative blend,"elm_coffee_forecasting,arima_coffee_forecasting,coffee_c_ml,volatility_models,hedonic_weather,contract_behavior,strategic_default,financialization_thresholds",mixed,validation,998,2018-09-12,2022-08-29,0.05022397918690843,0.03797653748294755,0.03003855737572019,-0.005850805495768414,1.0010851816515904,1.7396746569368495,-0.0031767280246270957,0.10237061120332225,7.463854247837778,5.353830298723936,0.5490981963927856,0.5483044037287046,0.5559701492537313,0.5843137254901961,0.5697896749521989,0.5122950819672131,0.09685194296861242,0.5640147862423658,0.5747674988888763,0.0010608379252112408,250,238,212,298,200,0.9201691148841147,0.17869529226118508,0.3541687482853308,0.640305092400593,-0.5500772551028337,0.535,0.635,2.0,0.7868113932084861,-0.06381791619184454,-0.001053599196931833,0.049907032206773484,
zero_return,No-change return benchmark,arima_coffee_forecasting,none,test,1003,2022-09-07,2026-09-01,0.05333035079418748,0.042272718104038376,0.0354955183670741,-0.003162100662326627,1.0012629531888935,1.9960102878724215,-0.0035280278770761786,,15.240070216751633,11.278663840631426,0.5004985044865404,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.4995014955134596,0.5000000000000001,502,0,501,0,201,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.7979987124449861,0.09063418152946928,-0.13386355943057326,0.053263082014906454,0.0036955420509912074
ar_ridge,Autoregressive return benchmark,"elm_coffee_forecasting,arima_coffee_forecasting",price_history,test,1003,2022-09-07,2026-09-01,0.05338885147233821,0.04228463346959751,0.03592817587312527,-0.0026966251504000217,1.002361287643786,1.7026570615323748,-0.005730873672464387,0.050698245006944635,15.163069911672162,11.241709073740628,0.48753738783649053,0.487592543995674,0.4883303411131059,0.5429141716566867,0.5141776937618148,0.43227091633466136,-0.024968268971369282,0.5089303464783581,0.515739055055166,0.7941595885391711,217,285,229,272,201,-0.39221753282817684,-0.1173761473085232,0.3797254511089485,-0.14006547865068944,-0.6629416141141125,0.48756218905472637,0.7711442786069652,2.0,0.8096013206173487,0.13706607342336513,-0.05311225862417713,0.05334730637213369,0.012640749977435917
