trading_date,event_count,max_impact_score_0_1,mean_impact_score_0_1,signed_impact_score,bullish_events,bearish_events,neutral_events,Close,future_return_5d,future_return_20d,top_event_summary
2000-02-14,50,0.5189725259318321,0.4875914122332006,-24.379570611660032,0,50,0,105.0,-0.0171428862072171,-0.0233333042689734,"COLOMBIAN -> CASTILLA; event code 084; Goldstein 7.0; tone 8.72274143302181; Ecopetrol, Tolima, Colombia | COLOMBIA -> COLOMBIA; event code 084; Goldstein 7.0; tone 7.17522353036372; Ecopetrol, Tolima, Colombia | ATTORNEY GENERAL -> unknown target; event code 020; Goldstein 3.0; tone 8.51063829787234; Itagui, Antioquia, Colombia"
2000-02-15,50,0.5292228344249063,0.4871073441131444,-20.07408156362889,4,44,2,105.8000030517578,-0.0207939935177549,-0.0264650564366054,"Unknown actor -> JAPAN; event code 046; Goldstein 7.0; tone 5.33159947984395; Sao Paulo, SãPaulo, Brazil | Unknown actor -> RED CROSS; event code 0841; Goldstein 7.0; tone 6.78899082568807; Sonson, Antioquia, Colombia | FARC -> GOVERNMENT; event code 046; Goldstein 7.0; tone 6.78899082568807; Sonson, Antioquia, Colombia"
2000-02-16,50,0.5715514900936307,0.5037823507418893,-25.18911753709446,0,50,0,104.9499969482422,-0.0304906816702466,0.0133397004915525,"BRAZIL -> UNITED STATES; event code 046; Goldstein 7.0; tone 9.79284369114878; United States | THE US -> COLOMBIA; event code 071; Goldstein 7.4; tone 7.12328767123288; Columbia, Departamento de Risaralda, Colombia | AMBASSADOR -> BRAZILIAN; event code 020; Goldstein 3.0; tone 9.79284369114878; Sao Paulo, SãPaulo, Brazil"
2000-02-17,50,0.6383781471086108,0.5817411906694463,-10.342703249812258,17,33,0,105.3499984741211,-0.0621736641407952,0.0071191268235684,"COLOMBIA -> PRESIDENT; event code 046; Goldstein 7.0; tone 6.5; Medellin, Antioquia, Colombia | PEASANT -> unknown target; event code 0841; Goldstein 7.0; tone 5.74257425742574; Santa Rosa Del Sur, Bolír, Colombia | CIVILIAN -> unknown target; event code 051; Goldstein 3.4; tone 6.48383084577114; Medellin, Antioquia, Colombia"
2000-02-18,50,0.5107723066186766,0.4872831479991075,-21.425011381591524,3,46,1,104.3000030517578,-0.0254074923139154,-0.011505316802735,"HIERARCH -> COMMANDER; event code 046; Goldstein 7.0; tone 4.35212660731949; Uraba, Antioquia, Colombia | COMMANDER -> HIERARCH; event code 046; Goldstein 7.0; tone 4.35212660731949; Uraba, Antioquia, Colombia | REFUGEE -> unknown target; event code 043; Goldstein 2.8; tone 5.14705882352941; Sao Paulo, SãPaulo, Brazil"
2000-02-22,50,0.5641072210037724,0.5334770612536951,-26.673853062684756,0,50,0,103.1999969482422,-0.0319767007746941,0.0053294870932374,"REPRESENTATIVES -> SAO PAULO; event code 043; Goldstein 2.8; tone 7.82120395327942; Managua, Managua, Nicaragua | BRAZIL -> PARAGUAY; event code 071; Goldstein 7.4; tone 7.32984293193717; Paranagua, ParanáR, Brazil | SAO PAULO -> REPRESENTATIVES; event code 042; Goldstein 1.9; tone 7.82120395327942; Managua, Managua, Nicaragua"
2000-02-23,50,0.5447165398479352,0.47174204408656345,8.632203927912329,35,15,0,103.5999984741211,-0.0236486195398369,0.0212355657339731,"BRAZIL -> PARAGUAY; event code 071; Goldstein 7.4; tone 6.92307692307692; Sao Paulo, SãPaulo, Brazil | BRAZILIAN -> unknown target; event code 071; Goldstein 7.4; tone 6.92307692307692; Sao Paulo, SãPaulo, Brazil | BRAZILIAN -> BRAZIL; event code 071; Goldstein 7.4; tone 6.92307692307692; Sao Paulo, SãPaulo, Brazil"
2000-02-24,50,0.62403106499277,0.5454351515559022,19.715676889890045,41,9,0,101.75,0.03292381792748,0.0034397884434504,"COLOMBIA -> unknown target; event code 193; Goldstein -10.0; tone 7.32901319573853; Caqueta, Sucre, Colombia | ARMY -> COLOMBIAN; event code 192; Goldstein -9.5; tone 7.33105597231283; Esquinas, BoyacáO, Colombia | COLOMBIAN -> unknown target; event code 190; Goldstein -10.0; tone 7.3302438780111; Caqueta, Sucre, Colombia"
2000-02-25,50,0.6425835724747674,0.5741374536027762,14.535849255216375,34,14,2,98.8000030517578,0.0561740410013535,0.0440283232768961,"INDONESIA -> unknown target; event code 163; Goldstein -8.0; tone 8.93854748603352; Jakarta, Jakarta Raya, Indonesia | AFRICA -> UGANDA; event code 190; Goldstein -10.0; tone 7.80399274047187; Entebbe, Wakiso, Uganda | UGANDA -> unknown target; event code 190; Goldstein -10.0; tone 7.80399274047187; Entebbe, Wakiso, Uganda"
2000-02-28,50,0.6455625990960062,0.5602613341812503,16.2602242033282,37,13,0,101.6500015258789,0.0457452184562443,0.0147565172403674,"Unknown actor -> GOVERNMENT OFFICIAL; event code 190; Goldstein -10.0; tone 4.18876557101859; Assam, Assam, India | INDONESIA -> EAST TIMOR; event code 190; Goldstein -10.0; tone 4.70376706903653; Aitarak, East Timor (general), East Timor | GOVERNMENT -> unknown target; event code 172; Goldstein -5.0; tone 4.46572961011519; Assam, Assam, India"
2000-02-29,50,0.7391636777656979,0.6458020216628344,14.309050466297753,33,17,0,99.9000015258789,0.0850850837854901,0.0460460300686729,"MILITARY -> REBEL; event code 192; Goldstein -9.5; tone 5.73004973754338; Putumayo, Magdalena, Colombia | TRIBUNAL -> TANZANIAN; event code 173; Goldstein -5.0; tone 2.95419428780545; Arusha, Arusha, Tanzania | RWANDA -> unknown target; event code 173; Goldstein -5.0; tone 2.95419428780545; Arusha, Arusha, Tanzania"
2000-03-01,50,0.6804575643811777,0.6003148733070529,17.626400336059838,37,13,0,101.1500015258789,0.0617894207189009,0.0271873451163164,"COLOMBIA -> CRIMINAL; event code 174; Goldstein -5.0; tone 9.34747820328882; Colombia | TIJUANA -> unknown target; event code 190; Goldstein -10.0; tone 4.60255172663876; Tijuana, Baja California, Mexico | RESIDENTS -> TUXTLA GUTIERREZ; event code 173; Goldstein -5.0; tone 6.41606886657102; Tuxtla Gutierrez, Chiapas, Mexico"
2000-03-02,50,0.5307575805746603,0.43313682237612183,-1.6308543674468432,20,30,0,105.0999984741211,0.0199809562760193,-0.015223582277359,"PRESIDENT -> MEXICO; event code 110; Goldstein -2.0; tone 6.9811320754717; Medellin, Antioquia, Colombia | JUDICIARY -> GOVERNMENT; event code 100; Goldstein -5.0; tone 3.36894001643385; Sao Paulo, SãPaulo, Brazil | SAO PAULO -> unknown target; event code 112; Goldstein -2.0; tone 2.94117647058824; Canada"
2000-03-03,50,0.5654769865302877,0.4711745509689393,8.756168776581621,30,20,0,104.3499984741211,0.0167704841934808,-0.0062290516088516,"Unknown actor -> PAPUAN; event code 190; Goldstein -10.0; tone 7.82000494774347; Jakarta, Jakarta Raya, Indonesia | LORD RESISTANCE ARMY -> unknown target; event code 190; Goldstein -10.0; tone 7.24539938115569; Rubaga, Kampala, Uganda | POLICE OFFICER -> MIAMI; event code 173; Goldstein -5.0; tone 7.84138655462185; Peten, Guatemala, Guatemala"
2000-03-06,50,0.5080185800008767,0.44691719130603325,-22.345859565301662,0,50,0,106.3000030517578,-0.0028222299449204,-0.0395108603674424,"REBEL -> unknown target; event code 056; Goldstein 7.0; tone 5.47385332438826; Los Pozos, Tolima, Colombia | POLICE -> AIR FORCE; event code 030; Goldstein 4.0; tone 1.9843443662784; Medellin, Antioquia, Colombia | GUERRILLA -> WORKER; event code 043; Goldstein 2.8; tone 2.82100877845559; Guatape, Antioquia, Colombia"
