weather_vietnam_dak_lak_temperature_2m_mean,weather_vietnam_dak_lak_temperature_2m_max,weather_vietnam_dak_lak_temperature_2m_min,weather_vietnam_dak_lak_precipitation_sum,weather_vietnam_dak_lak_rain_sum,weather_vietnam_dak_lak_relative_humidity_2m_mean,weather_vietnam_dak_lak_wind_speed_10m_mean,weather_vietnam_dak_lak_shortwave_radiation_sum,weather_vietnam_dak_lak_et0_fao_evapotranspiration,weather_vietnam_dak_lak_soil_moisture_0_to_100cm_mean,weather_vietnam_dak_lak_soil_temperature_0_to_100cm_mean,weather_vietnam_dak_lak_vapour_pressure_deficit_max,Date
25.1,31.3,20.6,0.0,0.0,61,13.8,19.03,5.34,0.302,25.8,3.08,2000-03-23
24.6,30.2,20.6,0.0,0.0,63,19.3,20.59,5.72,0.301,25.8,2.67,2000-03-24
24.9,30.9,20.7,0.0,0.0,61,20.1,23.49,6.39,0.3,25.7,2.89,2000-03-25
24.3,28.5,21.6,0.0,0.0,67,21.7,18.65,5.17,0.299,25.7,2.05,2000-03-26
23.7,27.4,21.0,0.0,0.0,68,19.6,14.05,4.27,0.299,25.5,1.74,2000-03-27
24.9,32.2,20.1,0.0,0.0,63,17.9,25.53,6.6,0.299,25.6,3.01,2000-03-28
25.0,32.9,19.8,0.0,0.0,63,15.5,26.19,6.57,0.298,25.7,3.42,2000-03-29
25.6,32.6,19.2,0.0,0.0,61,12.2,24.86,6.15,0.297,25.8,3.15,2000-03-30
27.5,33.2,19.9,0.0,0.0,55,4.7,23.04,5.11,0.296,26.1,3.38,2000-03-31
27.9,34.3,22.0,0.0,0.0,58,5.8,21.69,5.17,0.296,26.3,3.55,2000-04-01
27.3,33.2,23.6,0.5,0.5,66,4.3,18.34,4.22,0.295,26.5,2.85,2000-04-02
27.1,33.7,21.9,0.8,0.8,68,5.0,21.84,4.9,0.295,26.5,3.11,2000-04-03
26.8,32.5,21.9,3.0,3.0,70,4.4,20.39,4.53,0.296,26.6,2.66,2000-04-04
27.4,34.5,21.6,0.0,0.0,61,9.8,27.0,6.58,0.296,26.6,3.88,2000-04-05
26.0,32.1,19.6,0.0,0.0,64,11.6,24.46,6.03,0.295,26.7,2.96,2000-04-06
26.4,33.4,20.8,0.1,0.1,63,13.7,26.23,6.53,0.294,26.7,3.54,2000-04-07
22.7,25.5,21.3,17.9,17.9,89,11.7,6.19,1.49,0.298,26.3,1.01,2000-04-08
24.4,29.4,21.3,2.0,2.0,80,13.0,15.87,3.65,0.308,25.9,1.66,2000-04-09
25.9,30.7,22.5,0.0,0.0,73,13.9,19.26,4.76,0.307,26.0,2.03,2000-04-10
25.6,30.2,22.4,1.3,1.3,73,12.7,20.2,4.81,0.305,26.1,2.1,2000-04-11
25.8,31.1,22.3,0.8,0.8,72,9.5,17.72,4.21,0.303,26.1,2.3,2000-04-12
25.3,30.6,21.7,1.5,1.5,76,3.4,20.46,4.3,0.303,26.0,2.14,2000-04-13
26.1,30.9,21.4,1.3,1.3,72,3.7,21.07,4.52,0.303,26.0,2.34,2000-04-14
25.9,29.8,22.3,12.4,12.4,74,3.7,16.95,3.62,0.305,26.0,1.82,2000-04-15
24.4,29.3,21.6,3.9,3.9,84,5.1,14.37,3.12,0.312,25.9,1.51,2000-04-16
24.1,27.0,21.6,22.0,22.0,85,5.8,13.4,2.89,0.331,25.7,0.99,2000-04-17
25.3,29.7,21.5,0.3,0.3,76,5.7,18.95,4.1,0.333,25.7,1.86,2000-04-18
25.9,30.1,22.5,0.8,0.8,74,3.8,21.98,4.6,0.33,25.7,1.91,2000-04-19
25.8,30.6,21.3,0.8,0.8,76,2.9,21.36,4.43,0.327,25.8,1.94,2000-04-20
26.8,31.3,22.3,0.5,0.5,74,4.7,21.6,4.63,0.325,25.9,2.09,2000-04-21
25.5,30.3,22.1,1.2,1.2,81,4.2,18.2,3.81,0.323,25.9,1.74,2000-04-22
26.1,31.2,21.5,0.3,0.3,75,3.0,21.75,4.56,0.321,25.9,2.09,2000-04-23
26.1,30.3,22.3,0.8,0.8,75,5.1,19.81,4.25,0.319,25.9,1.83,2000-04-24
26.6,31.6,22.0,0.0,0.0,73,5.1,22.09,4.82,0.317,26.0,2.35,2000-04-25
26.9,32.0,21.8,0.0,0.0,69,4.2,23.17,5.01,0.314,26.1,2.6,2000-04-26
27.4,32.1,23.9,0.2,0.2,70,3.3,21.87,4.69,0.311,26.3,2.41,2000-04-27
27.0,31.8,23.5,0.2,0.2,71,2.9,20.29,4.37,0.309,26.4,2.35,2000-04-28
28.3,33.3,21.9,0.0,0.0,62,2.9,25.33,5.41,0.307,26.4,2.94,2000-04-29
27.8,32.8,22.5,0.5,0.5,63,4.2,22.41,4.9,0.305,26.6,2.97,2000-04-30
27.0,31.5,22.5,1.2,1.2,69,4.9,19.83,4.26,0.303,26.5,2.27,2000-05-01
27.4,32.3,22.3,1.3,1.3,67,3.8,22.22,4.83,0.302,26.6,2.76,2000-05-02
27.0,32.8,23.1,2.7,2.7,71,4.1,22.76,4.96,0.301,26.7,2.62,2000-05-03
27.2,32.6,22.6,1.3,1.3,68,4.8,22.63,4.99,0.3,26.8,2.82,2000-05-04
26.3,32.6,22.2,11.0,11.0,74,4.0,22.66,4.84,0.301,26.8,2.7,2000-05-05
27.1,32.6,21.4,0.0,0.0,65,5.0,25.32,5.58,0.304,26.7,3.04,2000-05-06
27.2,32.4,22.2,0.0,0.0,60,6.0,24.22,5.54,0.302,26.7,2.99,2000-05-07
27.1,32.6,21.8,0.2,0.2,67,5.3,23.71,5.29,0.299,26.8,2.95,2000-05-08
27.1,32.9,21.9,0.4,0.4,70,6.8,21.42,4.98,0.297,26.9,2.8,2000-05-09
27.2,33.3,23.8,1.6,1.6,70,8.3,22.14,5.18,0.296,27.0,2.75,2000-05-10
26.5,31.8,23.8,2.2,2.2,73,6.4,19.4,4.39,0.297,26.9,2.37,2000-05-11
25.6,28.7,23.0,4.4,4.4,78,6.2,14.04,3.14,0.299,26.7,1.46,2000-05-12
25.3,29.2,23.5,3.8,3.8,79,6.1,13.74,3.1,0.301,26.5,1.55,2000-05-13
25.5,29.4,23.0,2.4,2.4,77,9.8,17.81,3.99,0.303,26.4,1.71,2000-05-14
25.8,30.3,22.9,2.2,2.2,76,8.7,18.22,4.09,0.303,26.4,2.04,2000-05-15
26.7,30.8,23.9,0.8,0.8,70,9.3,21.2,4.91,0.302,26.5,2.23,2000-05-16
26.9,31.2,24.1,0.9,0.9,69,8.4,20.24,4.78,0.3,26.5,2.3,2000-05-17
25.4,29.8,23.1,3.8,3.8,81,6.7,13.39,3.04,0.3,26.4,1.54,2000-05-18
24.6,27.3,22.9,5.5,5.5,83,6.4,12.0,2.61,0.304,26.2,1.07,2000-05-19
25.5,31.7,22.5,6.4,6.4,79,5.3,19.22,4.01,0.306,26.1,2.16,2000-05-20
25.2,28.4,22.6,0.3,0.3,78,8.3,14.54,3.28,0.308,26.0,1.52,2000-05-21
25.5,30.6,21.9,1.9,1.9,77,6.7,19.21,4.12,0.307,26.0,1.84,2000-05-22
25.7,30.1,21.5,0.5,0.5,78,5.0,19.03,4.04,0.306,26.0,1.79,2000-05-23
25.6,31.0,22.0,11.7,11.7,79,6.7,20.17,4.32,0.307,26.1,2.03,2000-05-24
25.7,30.4,22.5,0.4,0.4,77,7.9,19.85,4.34,0.312,26.1,1.88,2000-05-25
25.6,30.4,22.4,1.7,1.7,77,7.8,20.87,4.4,0.311,26.1,1.79,2000-05-26
26.8,31.5,22.9,0.0,0.0,72,6.7,21.24,4.76,0.309,26.2,2.32,2000-05-27
27.0,32.3,22.5,0.2,0.2,72,5.4,20.37,4.57,0.306,26.3,2.35,2000-05-28
26.1,31.3,23.4,9.1,9.1,78,4.4,18.21,3.92,0.306,26.4,2.03,2000-05-29
24.6,29.0,22.1,21.8,21.8,86,4.6,13.49,2.84,0.314,26.1,1.33,2000-05-30
22.6,23.3,21.9,91.6,91.6,96,7.0,2.94,0.68,0.368,25.7,0.4,2000-05-31
23.1,26.1,21.4,13.2,13.2,91,6.4,11.56,2.32,0.399,25.4,0.76,2000-06-01
23.9,28.5,19.9,3.5,3.5,86,4.5,17.15,3.5,0.403,25.3,1.35,2000-06-02
24.8,28.8,22.2,0.9,0.9,79,5.5,19.44,3.96,0.403,25.4,1.4,2000-06-03
24.8,29.7,21.6,5.9,5.9,82,4.1,20.92,4.24,0.401,25.3,1.71,2000-06-04
24.7,29.1,20.1,0.4,0.4,82,3.7,20.24,4.14,0.401,25.4,1.56,2000-06-05
25.2,29.9,21.3,1.1,1.1,81,3.7,20.49,4.19,0.398,25.4,1.62,2000-06-06
25.2,29.7,22.5,2.6,2.6,82,4.4,19.13,4.02,0.397,25.4,1.52,2000-06-07
25.0,30.0,21.6,2.9,2.9,82,6.2,21.99,4.4,0.396,25.4,1.61,2000-06-08
25.2,30.1,22.2,3.7,3.7,77,8.7,22.27,4.66,0.395,25.4,1.81,2000-06-09
25.5,29.5,22.2,0.2,0.2,73,8.5,22.34,4.8,0.392,25.5,1.88,2000-06-10
25.6,29.2,21.9,0.1,0.1,74,9.9,22.26,4.8,0.387,25.5,1.74,2000-06-11
25.6,28.5,23.6,0.6,0.6,77,10.6,20.09,4.29,0.384,25.6,1.45,2000-06-12
25.2,28.1,22.3,0.8,0.8,76,10.2,18.81,4.05,0.38,25.6,1.44,2000-06-13
24.7,28.7,21.3,3.4,3.4,82,7.3,17.69,3.61,0.378,25.5,1.27,2000-06-14
23.3,27.6,21.3,12.3,12.3,90,5.2,10.08,2.08,0.383,25.3,0.99,2000-06-15
23.6,26.6,21.7,11.7,11.7,89,6.3,11.46,2.41,0.39,25.1,0.95,2000-06-16
23.2,26.9,21.3,6.0,6.0,91,6.5,10.77,2.22,0.396,25.0,0.93,2000-06-17
24.3,27.9,21.8,1.1,1.1,82,6.8,17.15,3.53,0.398,25.0,1.33,2000-06-18
24.5,28.3,21.3,1.5,1.5,82,5.9,18.26,3.72,0.396,25.0,1.32,2000-06-19
25.0,29.8,21.5,2.2,2.2,80,5.8,18.96,3.95,0.395,25.1,1.68,2000-06-20
24.4,28.8,20.9,0.7,0.7,83,5.4,17.43,3.6,0.393,25.1,1.32,2000-06-21
25.0,29.5,21.5,1.0,1.0,80,4.5,20.84,4.26,0.391,25.1,1.46,2000-06-22
24.8,29.5,21.3,1.7,1.7,80,6.7,20.1,4.17,0.388,25.2,1.64,2000-06-23
25.0,28.7,22.5,0.0,0.0,76,7.8,20.34,4.29,0.385,25.2,1.69,2000-06-24
25.1,29.4,21.4,0.0,0.0,77,7.3,22.52,4.66,0.381,25.2,1.71,2000-06-25
24.4,27.5,22.2,2.9,2.9,83,6.1,15.58,3.21,0.38,25.2,1.12,2000-06-26
23.9,27.4,20.6,2.9,2.9,85,4.7,14.35,2.91,0.382,25.1,1.1,2000-06-27
24.1,28.4,20.6,6.5,6.5,84,5.0,19.5,3.88,0.384,25.1,1.22,2000-06-28
25.0,30.1,20.5,3.9,3.9,79,4.0,22.27,4.53,0.384,25.1,1.79,2000-06-29
23.9,28.1,20.7,12.7,12.7,85,4.9,17.67,3.56,0.386,25.1,1.23,2000-06-30
24.6,29.3,20.3,5.4,5.4,81,5.2,19.4,3.98,0.39,25.0,1.62,2000-07-01
24.4,28.8,21.3,9.9,9.9,85,3.7,18.41,3.75,0.392,25.0,1.33,2000-07-02
24.2,29.1,20.5,12.5,12.5,86,4.6,20.08,4.0,0.398,25.0,1.38,2000-07-03
24.5,28.3,22.4,9.0,9.0,85,6.6,15.94,3.23,0.405,25.1,1.2,2000-07-04
23.5,28.1,21.9,18.3,18.3,92,6.6,12.31,2.5,0.413,24.9,1.12,2000-07-05
23.1,25.5,21.3,7.7,7.7,90,8.7,8.11,1.75,0.424,24.7,0.69,2000-07-06
24.2,27.9,21.8,2.5,2.5,81,11.5,20.19,4.12,0.424,24.7,1.41,2000-07-07
24.3,28.5,22.0,3.7,3.7,81,12.0,19.62,4.06,0.423,24.8,1.41,2000-07-08
24.7,27.9,22.5,0.0,0.0,78,13.2,19.06,4.08,0.419,24.8,1.24,2000-07-09
24.3,27.1,21.9,3.4,3.4,81,11.5,15.17,3.33,0.417,24.9,1.12,2000-07-10
23.0,24.4,21.2,6.4,6.4,85,12.8,7.14,1.86,0.417,24.6,0.78,2000-07-11
22.9,25.9,20.9,6.1,6.1,83,13.1,15.81,3.29,0.422,24.5,1.15,2000-07-12
23.5,27.0,19.5,0.0,0.0,77,10.5,20.52,4.2,0.42,24.4,1.45,2000-07-13
23.4,26.0,22.1,9.9,9.9,83,9.9,12.84,2.75,0.419,24.4,0.93,2000-07-14
23.5,26.6,21.7,16.4,16.4,85,11.7,13.76,2.94,0.425,24.4,1.04,2000-07-15
23.6,25.7,22.1,8.4,8.4,84,12.7,11.63,2.59,0.434,24.3,0.8,2000-07-16
24.2,27.3,22.5,1.5,1.5,80,13.2,16.01,3.5,0.435,24.4,1.19,2000-07-17
24.2,27.0,22.3,0.8,0.8,79,10.6,15.12,3.35,0.432,24.4,1.17,2000-07-18
24.5,28.3,21.4,0.5,0.5,79,9.3,21.6,4.33,0.428,24.5,1.4,2000-07-19
24.3,28.5,21.2,2.6,2.6,81,7.8,19.22,3.88,0.425,24.5,1.41,2000-07-20
24.9,29.0,21.5,0.1,0.1,80,5.7,20.54,4.15,0.424,24.6,1.42,2000-07-21
24.7,28.9,21.2,1.4,1.4,81,6.8,20.55,4.13,0.42,24.6,1.41,2000-07-22
24.6,28.7,21.1,1.8,1.8,82,6.7,18.66,3.79,0.418,24.7,1.39,2000-07-23
24.2,28.2,20.9,2.9,2.9,84,6.4,19.02,3.8,0.417,24.7,1.17,2000-07-24
23.6,27.1,21.7,5.0,5.0,86,6.5,13.66,2.8,0.417,24.6,1.04,2000-07-25
24.1,28.3,21.3,5.9,5.9,84,7.4,18.78,3.71,0.419,24.6,1.24,2000-07-26
24.3,28.4,22.0,1.5,1.5,81,8.8,18.95,3.87,0.42,24.6,1.43,2000-07-27
25.1,29.0,21.8,0.9,0.9,75,9.9,21.57,4.6,0.417,24.7,1.82,2000-07-28
25.2,29.7,21.9,0.0,0.0,73,9.4,19.75,4.38,0.413,24.8,1.97,2000-07-29
25.7,30.0,22.2,0.0,0.0,73,8.0,22.52,4.77,0.408,24.9,1.91,2000-07-30
25.5,30.6,22.5,3.8,3.8,79,6.2,21.86,4.56,0.404,25.1,1.86,2000-07-31
25.2,30.2,21.0,3.3,3.3,80,6.4,23.46,4.79,0.404,25.1,1.71,2000-08-01
25.3,30.1,21.6,1.4,1.4,78,6.2,22.8,4.71,0.402,25.2,1.73,2000-08-02
25.2,29.8,22.4,3.3,3.3,79,8.5,21.3,4.42,0.4,25.2,1.63,2000-08-03
25.0,29.9,21.9,0.2,0.2,77,9.2,21.84,4.55,0.398,25.2,1.8,2000-08-04
24.8,27.7,22.7,2.4,2.4,79,7.9,16.96,3.59,0.396,25.2,1.31,2000-08-05
25.2,29.4,22.4,1.5,1.5,77,6.3,21.61,4.48,0.394,25.2,1.6,2000-08-06
24.6,29.0,21.1,3.0,3.0,81,4.1,19.29,3.97,0.393,25.2,1.55,2000-08-07
24.5,29.9,20.4,7.3,7.3,83,4.1,20.35,4.15,0.393,25.2,1.7,2000-08-08
24.8,29.8,19.7,0.0,0.0,80,4.0,22.84,4.71,0.394,25.2,1.71,2000-08-09
24.9,29.5,21.0,0.0,0.0,81,4.6,20.91,4.25,0.391,25.3,1.58,2000-08-10
25.5,30.4,21.3,3.4,3.4,79,6.2,22.2,4.57,0.389,25.3,1.84,2000-08-11
25.2,30.0,22.3,4.8,4.8,81,6.7,20.31,4.23,0.387,25.4,1.58,2000-08-12
24.6,28.2,22.2,4.1,4.1,83,7.3,17.7,3.62,0.389,25.3,1.28,2000-08-13
25.0,29.0,22.7,2.3,2.3,79,8.5,20.04,4.14,0.39,25.3,1.49,2000-08-14
25.4,29.2,22.6,0.9,0.9,77,7.2,21.86,4.53,0.387,25.4,1.62,2000-08-15
