feature,is_cot_feature,is_weather_feature,train_mean,test_mean,train_std,standardized_mean_diff,abs_standardized_mean_diff,corr_with_target_train,corr_with_target_test,corr_with_abs_error_test,corr_with_signed_error_test,missing_rate_train,missing_rate_test
M_Money_Positions_Spread_ALL,True,False,17153.77336448598,24750.470930232557,13010.75078555943,0.5838784933286183,0.5838784933286183,0.148489362108898,0.18089434750944586,0.056191974441579445,0.16530182665259743,0.7740232312565998,0.6570289132602194
Traders_Tot_Rept_Short_All,True,False,224.44240929904896,254.43768693918244,51.942632865579874,0.5774693346360971,0.5774693346360971,0.010371932028379032,0.05299631157774138,-0.001865414196518399,0.03681387549874438,0.0007039774727208729,0.0
Pct_of_OI_M_Money_Spread_Old,True,False,6.082165109034268,8.367732558139535,4.2203402341666,0.5415599980783548,0.5415599980783548,0.11428037591861759,0.06707605489398398,0.011879330121994058,0.022910215173372446,0.7740232312565998,0.6570289132602194
Conc_Gross_LE_4_TDR_Short_All,True,False,21.623318069742865,18.793220338983048,5.229253911871393,-0.541204879023939,0.541204879023939,-0.03865726343886867,-0.04836916405743324,-0.032226899507593415,-0.03715474199289647,0.0007039774727208729,0.0
weather_colombia_huila_et0_fao_evapotranspiration,False,True,4.263445969728969,4.830418743768694,1.05671250492385,0.5365440187353346,0.5365440187353346,0.021395964677436943,-0.008668609720628962,-0.026706073332995947,-0.01807269501747247,0.0,0.0
weather_colombia_huila_vapour_pressure_deficit_max_roll5,False,True,2.2916672240802676,2.747108673978066,0.8585947775881275,0.5304498254428892,0.5304498254428892,0.02949971543659996,0.02902138814909525,-0.0597053687262371,0.022111021207857625,0.00017599436818021823,0.0
NonRept_Positions_Long_Old,True,False,9014.304508629799,7040.320039880359,3737.654476516092,-0.5281345510003942,0.5281345510003942,0.007212616064494789,0.014206989320416733,0.024440876549646655,0.02189143869821088,0.0007039774727208729,0.0
Traders_M_Money_Long_Other,True,False,19.179671457905545,28.778761061946902,18.233541410511148,0.5264522885558446,0.5264522885558446,-0.044547280077347484,-0.09291153339832646,-0.06292251291513078,-0.039263801100743095,0.8285814853924675,0.6620139581256231
Tot_Rept_Positions_Long_All,True,False,144892.93430785488,182829.53539381854,72619.91202490978,0.5223994360245273,0.5223994360245273,0.027267684080130018,0.11993375020929566,-0.026112708067944312,0.10852275145251117,0.0007039774727208729,0.0
Traders_Other_Rept_Short_All,True,False,36.10202492211838,40.375,8.217789323659106,0.5199664909368844,0.5199664909368844,-0.05368831143941101,0.07190339090496578,0.026296601857450377,0.10728284943247669,0.7740232312565998,0.6570289132602194
Pct_of_OI_Prod_Merc_Long_All,True,False,26.188006230529595,22.41598837209302,7.27125021793636,-0.5187578126705015,0.5187578126705015,0.04152116454538905,-0.07875243765403196,0.12283385322618424,-0.12946004829550684,0.7740232312565998,0.6570289132602194
M_Money_Positions_Short_ALL,True,False,33404.58722741433,17499.49418604651,30874.72009158329,-0.5151493841624716,0.5151493841624716,0.10636166133394288,0.07080756581583486,0.07288559819599293,-0.014947834873577481,0.7740232312565998,0.6570289132602194
Traders_Tot_Rept_Short_Old,True,False,195.1333215921099,226.18344965104686,60.64081796251368,0.5120334636338714,0.5120334636338714,-0.009046579759823143,0.014156415157626463,0.029170974589970148,0.015333134172566846,0.0007039774727208729,0.0
Traders_M_Money_Short_All,True,False,49.63551401869159,35.979651162790695,27.013801220850933,-0.5055143015326716,0.5055143015326716,0.10763436682378966,0.08710815810929748,0.09832035173147453,0.0014376051650930402,0.7740232312565998,0.6570289132602194
Traders_Swap_Spread_Other,True,False,6.172686230248307,8.050898203592814,3.7165957035264405,0.5053581619228562,0.5053581619228562,-0.00047478425931839094,-0.07876798068855477,-0.014001674487424674,-0.047938916292964165,0.8440689897923267,0.6669990029910269
Traders_NonComm_Long_Other,True,False,34.043013199817935,48.867981790591806,29.67135746458716,0.49963904106738316,0.49963904106738316,0.037828478624088176,0.0663253076679082,0.0007144309804988479,0.02943669586742205,0.22668074621612108,0.34297108673978066
Pct_of_OI_Other_Rept_Spread_Othr,True,False,8.039797507788162,5.249999999999999,5.6689192650068705,-0.49212158038817677,0.49212158038817677,0.010077111443950449,-0.14733931711880796,0.12294032361851033,-0.12322991330626785,0.7740232312565998,0.6570289132602194
Pct_of_OI_NonComm_Short_Other,True,False,15.594879380974055,20.7298937784522,10.458457540158445,0.49099156140001415,0.49099156140001415,0.00585111561273616,-0.013344457779324095,-0.04913562702306974,-0.019645771102974368,0.22668074621612108,0.34297108673978066
Traders_NonComm_Short_Other,True,False,24.10195721438325,34.22761760242792,20.757257050847855,0.4878130267038859,0.4878130267038859,0.007748072816966813,0.020199833413311656,0.025458186138842712,-0.0094656572863265,0.22668074621612108,0.34297108673978066
Tot_Rept_Positions_Short_All,True,False,149029.45086297992,184583.29910269193,72999.76637181263,0.4870405757002587,0.4870405757002587,0.027770911293499394,0.11743065306085236,-0.02616774370564658,0.10757674313487195,0.0007039774727208729,0.0
weather_vietnam_dak_lak_shortwave_radiation_sum_roll20,False,True,17.993194552387294,19.476774177467597,3.052055633209249,0.4860919338879523,0.4860919338879523,-0.04698778931689163,0.014568965551392359,0.02037602887113844,0.020274661095021285,0.0015839493136219642,0.0
Open_Interest_All,True,False,155925.316132441,191683.8963110668,73937.28834807173,0.4836339143286745,0.4836339143286745,0.028698788914847645,0.12061843336240621,-0.02426605869061641,0.10948714918250234,0.0007039774727208729,0.0
weather_colombia_huila_wind_speed_10m_mean_roll20,False,True,5.465965966888039,6.537921236291127,2.2188184596467173,0.4831198626199307,0.4831198626199307,0.010712065585105747,0.0236548131983783,-0.019699718604903424,0.005607098227927947,0.0015839493136219642,0.0
Prod_Merc_Positions_Short_ALL,True,False,93731.80062305296,80157.20639534884,28224.99021237504,-0.48094238919354654,0.48094238919354654,0.023513597299391936,0.023274108077112228,-0.08009740692597815,0.03266642712180901,0.7740232312565998,0.6570289132602194
weather_vietnam_dak_lak_soil_temperature_0_to_100cm_mean_roll20,False,True,25.271470978110315,25.98374376869392,1.4851527821821076,0.479595634286915,0.479595634286915,-0.012499688348977758,0.00385398240512612,0.031860998573487655,0.02000891044905448,0.0015839493136219642,0.0
Pct_of_OI_M_Money_Short_Old,True,False,21.45739875389408,14.476453488372092,14.56228592112206,-0.4793852629549309,0.4793852629549309,0.07963842355738289,0.08508081474246594,0.0426290314369129,0.02747663836767557,0.7740232312565998,0.6570289132602194
weather_vietnam_dak_lak_soil_temperature_0_to_100cm_mean_roll5,False,True,25.27040603180191,26.00743768693918,1.5445266402572646,0.4771893445712953,0.4771893445712953,-0.0192455551059314,0.03366416349367381,0.05584849933106509,0.050242029163769186,0.00017599436818021823,0.0
volatility_60,False,False,0.020804931913849505,0.02327548181027462,0.00517831220034292,0.47709558652363754,0.47709558652363754,-0.0337178370497529,-0.018215586745398766,-0.0692483973036974,0.012915306455865824,0.005279831045406547,0.0
weather_colombia_huila_vapour_pressure_deficit_max,False,True,2.2924445617740234,2.7480259222333,0.955502555614463,0.4767976367852854,0.4767976367852854,0.02330091404478804,0.030601722537547425,-0.0491427702364316,0.023815621683365977,0.0,0.0
weather_vietnam_dak_lak_soil_temperature_0_to_100cm_mean,False,True,25.270943329813445,26.01256231306082,1.5580812237373098,0.4759822350393781,0.4759822350393781,-0.03173479183049894,0.035690524820204836,0.0787749892769792,0.05302069648275882,0.0,0.0
weather_brazil_minas_gerais_vapour_pressure_deficit_max_roll20,False,True,1.5744361218855978,1.7508384845463607,0.38363693494477935,0.4598159003802756,0.4598159003802756,0.003441211993434206,-0.0431679477258519,-0.09362629797152412,-0.044505041852073005,0.0015839493136219642,0.0
Conc_Gross_LE_8_TDR_Short_All,True,False,33.385029940119765,30.692023928215352,6.03894686659144,-0.44593967646952065,0.44593967646952065,-0.04232174285930704,-0.04223844797585012,-0.04752073541836738,-0.024255960223188554,0.0007039774727208729,0.0
Traders_M_Money_Short_Old,True,False,48.34572784810127,36.69476744186046,26.145459434371137,-0.445620794520226,0.445620794520226,0.09159341377522771,0.11012931736403779,0.0626160016347377,0.034958192641388344,0.7775431186202042,0.6570289132602194
